No.,Time,Source,Destination,Protocol,Length,HID Data,HID DataRA,
1100,5.772426,host,1.45.1,USB,27,,,
1101,5.77258,host,1.45.1,USB,91,40fa0001020700384c05fa800201576c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c,40fa0001020700384c05fa800201576c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c,
1104,5.775412,1.45.1,host,USB,27,,,
1109,5.792407,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1110,5.792419,host,1.45.1,USB,27,,,
1111,5.79256,host,1.45.1,USB,91,40fa0001020800384c05fa80020188036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036cca0f3c78000400000000000000c0003040,40fa0001020800384c05fa80020188036c036c036c036c036c036c036c036c036c036c036c036c036c036c036c036cca0f3c78000400000000000000c0003040,
1112,5.795433,1.45.1,host,USB,27,,,
1117,5.812408,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1118,5.81242,host,1.45.1,USB,27,,,
1119,5.812527,host,1.45.1,USB,91,40fa0001020900384c05fa800201b9ba00000000003008000030c1147d10aa32809392640f0ca33282642d0ca43280640a08263282641b0c273282640308aa32,40fa0001020900384c05fa800201b9ba00000000003008000030c1147d10aa32809392640f0ca33282642d0ca43280640a08263282641b0c273282640308aa32,
1122,5.815414,1.45.1,host,USB,27,,,
1127,5.832405,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1128,5.832422,host,1.45.1,USB,27,,,
1129,5.832734,host,1.45.1,USB,91,40fa0001020a00384c05fa800201ea40b38114b33282640c0cc333c264fa0b4b39030c5239f60b6e10aa3240b381143f21263244748464ed0bea0763590232cc,40fa0001020a00384c05fa800201ea40b38114b33282640c0cc333c264fa0b4b39030c5239f60b6e10aa3240b381143f21263244748464ed0bea0763590232cc,
1130,5.835498,1.45.1,host,USB,27,,,
1147,5.853412,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1148,5.853426,host,1.45.1,USB,27,,,
1149,5.853658,host,1.45.1,USB,91,40fa0001020b00384c05fa8002021b74c864f20b5d39f00f202944740139ec0f81143a328664db0f8114000000f80050d2146a13036d0083476d0074284cffe3,40fa0001020b00384c05fa8002021b74c864f20b5d39f00f202944740139ec0f81143a328664db0f8114000000f80050d2146a13036d0083476d0074284cffe3,
1152,5.855407,1.45.1,host,USB,27,,,
1157,5.87341,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1158,5.873431,host,1.45.1,USB,27,,,
1159,5.873621,host,1.45.1,USB,91,40fa0001020c00384c05fa8002024cbdff23ea00500c61a0a49214bc38be38008000743c780000d2146013036d0083476d0074284c8844ffe3a8ffbc3cbe3ca0,40fa0001020c00384c05fa8002024cbdff23ea00500c61a0a49214bc38be38008000743c780000d2146013036d0083476d0074284c8844ffe3a8ffbc3cbe3ca0,
1160,5.875427,1.45.1,host,USB,27,,,
1167,5.893418,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1168,5.893427,host,1.45.1,USB,27,,,
1169,5.893639,host,1.45.1,USB,91,40fa0001020d00384c05fa8002027da492140840bc38be38008000743c787712581240b320b3741220a33c780000d014731210320a3040b3531240b3ffe347ff,40fa0001020d00384c05fa8002027da492140840bc38be38008000743c787712581240b320b3741220a33c780000d014731210320a3040b3531240b3ffe347ff,
1170,5.895437,1.45.1,host,USB,27,,,
1175,5.913413,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1176,5.913427,host,1.45.1,USB,27,,,
1177,5.913613,host,1.45.1,USB,91,40fa0001020e00384c05fa800202ae9014d0146e124e12413840b3263240b36a1240a3150c40380f0c423804086a12033240b3661210320a3040b3461240b3ff,40fa0001020e00384c05fa800202ae9014d0146e124e12413840b3263240b36a1240a3150c40380f0c423804086a12033240b3661210320a3040b3461240b3ff,
1178,5.915429,1.45.1,host,USB,27,,,
1185,5.933409,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1186,5.933412,host,1.45.1,USB,27,,,
1187,5.933922,host,1.45.1,USB,91,40fa0001020f00384c05fa800202dfe32dff90146412013240b3f4076212023240b3f0074112003360b26092403bfe0f3c780000d41422149811b71158112633,40fa0001020f00384c05fa800202dfe32dff90146412013240b3f4076212023240b3f0074112003360b26092403bfe0f3c780000d41422149811b71158112633,
1188,5.935433,1.45.1,host,USB,27,,,
1193,5.953411,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1194,5.953428,host,1.45.1,USB,27,,,
1195,5.953614,host,1.45.1,USB,91,40fa0001021000384c05fa8002031040b440b860b4033260a57711f51140b310330a3060b4e0b40036ffe307ff4098273340b441b860b460a500310085007455,40fa0001021000384c05fa8002031040b440b860b4033260a57711f51140b310330a3060b4e0b40036ffe307ff4098273340b441b860b460a500310085007455,
1196,5.955426,1.45.1,host,USB,27,,,
1203,5.97343,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1204,5.973461,host,1.45.1,USB,27,,,
1205,5.973632,host,1.45.1,USB,91,40fa0001021100384c05fa800203412effe341ff6e110a30c0a360b8103360b4e0b4ffe3f2fe4198263340b460b460a5003100850074ffe32eff60980a30c0a3,40fa0001021100384c05fa800203412effe341ff6e110a30c0a360b8103360b4e0b4ffe3f2fe4198263340b460b460a5003100850074ffe32eff60980a30c0a3,
1206,5.975434,1.45.1,host,USB,27,,,
1211,5.994421,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1212,5.994443,host,1.45.1,USB,27,,,
1213,5.994575,host,1.45.1,USB,91,40fa0001021200384c05fa80020372103360b4e0b4ffe3e0fe02149414d414476d0b6dffe395ff78105810403d40b3273240b3741040a3210c413d1608d81000,40fa0001021200384c05fa80020372103360b4e0b4ffe3e0fe02149414d414476d0b6dffe395ff78105810403d40b3273240b3741040a3210c413d1608d81000,
1216,5.995409,1.45.1,host,USB,27,,,
1221,6.014414,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1222,6.014423,host,1.45.1,USB,27,,,
1223,6.014527,host,1.45.1,USB,91,40fa0001021300384c05fa800203a3359b6cd76c06e40f00e08200228264225bd060e0a3c574f90b0f2503ea50015575ff26d664ee0b681010320a3040b34810,40fa0001021300384c05fa800203a3359b6cd76c06e40f00e08200228264225bd060e0a3c574f90b0f2503ea50015575ff26d664ee0b681010320a3040b34810,
1224,6.015429,1.45.1,host,USB,27,,,
1229,6.034416,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1230,6.034427,host,1.45.1,USB,27,,,
1231,6.03475,host,1.45.1,USB,91,40fa0001021400384c05fa800203d440b3ffe3b1fe9414ca100035140400000000003000ff005055aa660066995500001900505808003000f800500062005000,40fa0001021400384c05fa800203d440b3ffe3b1fe9414ca100035140400000000003000ff005055aa660066995500001900505808003000f800500062005000,
1234,6.035414,1.45.1,host,USB,27,,,
1251,6.054414,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1252,6.054431,host,1.45.1,USB,27,,,
1253,6.054542,host,1.45.1,USB,91,40fa0001021500384c05fa800204054000509b6cd76c06e40f00e08200228264225bd060e0a3c574f90b0f2503ead0045575ff26d664ee0b0c61431364132083,40fa0001021500384c05fa800204054000509b6cd76c06e40f00e08200228264225bd060e0a3c574f90b0f2503ead0045575ff26d664ee0b0c61431364132083,
1254,6.05543,1.45.1,host,USB,27,,,
1261,6.075415,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1262,6.075419,host,1.45.1,USB,27,,,
1263,6.075712,host,1.45.1,USB,91,40fa0001021600384c05fa8002043600238e6420a40024fb0bc5070000d4142314076d40b8ffe332ff7d125e12413c40b3273240b327335c1260a241b87b12aa,40fa0001021600384c05fa8002043600238e6420a40024fb0bc5070000d4142314076d40b8ffe332ff7d125e12413c40b3273240b327335c1260a241b87b12aa,
1264,6.079421,1.45.1,host,USB,27,,,
1269,6.095423,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1270,6.095449,host,1.45.1,USB,27,,,
1271,6.095804,host,1.45.1,USB,91,40fa0001021700384c05fa800204673240b3870c403c490c423c3d08381201320033003704ea05490130040400230022ff210e3b0a0864c44540566d40695475,40fa0001021700384c05fa800204673240b3870c403c490c423c3d08381201320033003704ea05490130040400230022ff210e3b0a0864c44540566d40695475,
1272,6.099438,1.45.1,host,USB,27,,,
1279,6.115417,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1280,6.115421,host,1.45.1,USB,27,,,
1281,6.115958,host,1.45.1,USB,91,40fa0001021800384c05fa80020498403d810c413bab0c4f3ba90c433bb80c0135d35b9465b408443bc20c553bc00c473bce0c563bcc0c493bdb0c4c3bd90c4a,40fa0001021800384c05fa80020498403d810c413bab0c4f3ba90c433bb80c0135d35b9465b408443bc20c553bc00c473bce0c563bcc0c493bdb0c4c3bd90c4a,
1282,6.119437,1.45.1,host,USB,27,,,
1287,6.135417,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1288,6.135434,host,1.45.1,USB,27,,,
1289,6.135611,host,1.45.1,USB,91,40fa0001021900384c05fa800204c93be80c4d3bf70c503bfb0c573bf90c513b080d523b270d533b140d543b2b0d583acd0b761110320a3040b3591140b3ffe3,40fa0001021900384c05fa800204c93be80c4d3bf70c503bfb0c573bf90c513b080d523b270d533b140d543b2b0d583acd0b761110320a3040b3591140b3ffe3,
1292,6.139426,1.45.1,host,USB,27,,,
1297,6.156418,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1298,6.156436,host,1.45.1,USB,27,,,
1299,6.156546,host,1.45.1,USB,91,40fa0001021a00384c05fa800204fa20fe03149414809837111035f711c76c936c1459c0920322c0b30323c264fb0bff21c6651461f40b71114198758363e40f,40fa0001021a00384c05fa800204fa20fe03149414809837111035f711c76c936c1459c0920322c0b30323c264fb0bff21c6651461f40b71114198758363e40f,
1300,6.159435,1.45.1,host,USB,27,,,
1305,6.176419,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1306,6.176431,host,1.45.1,USB,27,,,
1307,6.176925,host,1.45.1,USB,91,40fa0001021b00384c05fa8002052b2061a20f117b803c805d80cc749e8044748874bf8002430c6003400e600440c060054164430660024040602341c4602244,40fa0001021b00384c05fa8002052b2061a20f117b803c805d80cc749e8044748874bf8002430c6003400e600440c060054164430660024040602341c4602244,
1310,6.179418,1.45.1,host,USB,27,,,
1315,6.196428,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1316,6.196443,host,1.45.1,USB,27,,,
1317,6.196624,host,1.45.1,USB,91,40fa0001021c00384c05fa8002055cd46004612144c46021424860234184604242c8605f10cd7460aabb0780981a101035dd10c36c936c3458e0820022e0a300,40fa0001021c00384c05fa8002055cd46004612144c46021424860234184604242c8605f10cd7460aabb0780981a101035dd10c36c936c3458e0820022e0a300,
1318,6.19944,1.45.1,host,USB,27,,,
1323,6.216426,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1324,6.216446,host,1.45.1,USB,27,,,
1325,6.216592,host,1.45.1,USB,91,40fa0001021d00384c05fa8002058d23c664fb0bff2082651461f40ba907b65962b8a1b8476dc0989c616086002660a500256198d664fa0b6298052771070881,40fa0001021d00384c05fa8002058d23c664fb0bff2082651461f40ba907b65962b8a1b8476dc0989c616086002660a500256198d664fa0b6298052771070881,
1328,6.219442,1.45.1,host,USB,27,,,
1333,6.236422,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1334,6.236439,host,1.45.1,USB,27,,,
1335,6.236806,host,1.45.1,USB,91,40fa0001021e00384c05fa800205be00500081005000ff005055aa66000000003000f8005000010050669955000040005000620050a04b0050a0610050080000,40fa0001021e00384c05fa800205be00500081005000ff005055aa66000000003000f8005000010050669955000040005000620050a04b0050a0610050080000,
1336,6.239436,1.45.1,host,USB,27,,,
1355,6.257421,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1356,6.257424,host,1.45.1,USB,27,,,
1357,6.257606,host,1.45.1,USB,91,40fa0001021f00384c05fa800205ef3000770050a1e4090062b8a1b8476dc0989c616086002660a500256198d664fa0b629809274807b25962b8a1b8476dc098,40fa0001021f00384c05fa800205ef3000770050a1e4090062b8a1b8476dc0989c616086002660a500256198d664fa0b629809274807b25962b8a1b8476dc098,
1358,6.259438,1.45.1,host,USB,27,,,
1363,6.277424,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1364,6.277436,host,1.45.1,USB,27,,,
1365,6.277598,host,1.45.1,USB,91,40fa0001022000384c05fa800206209c616086002660a500256198d664fa0b629804273e07aa5962b8a1b8476dc0989c616086002660a500256198d664fa0b62,40fa0001022000384c05fa800206209c616086002660a500256198d664fa0b629804273e07aa5962b8a1b8476dc0989c616086002660a500256198d664fa0b62,
1366,6.279437,1.45.1,host,USB,27,,,
1371,6.297453,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1372,6.297488,host,1.45.1,USB,27,,,
